id,author,date,source,popularity,tags,content
19,martinus,2011-03-16 18:11:56Z,https://stackoverflow.com/a/389723,496,,"/**
 * Always returns true.
 */
public boolean isAvailable() {
    return false;
}"
20,PoppaVein,2011-03-16 18:11:31Z,https://stackoverflow.com/a/189859,456,,"/*
 * You may think you know what the following code does.
 * But you dont. Trust me.
 * Fiddle with it, and youll spend many a sleepless
 * night cursing the moment you thought youd be clever
 * enough to ""optimize"" the code below.
 * Now close this file and go play with something else.
 */"
21,gedevan,2011-03-16 18:12:21Z,https://stackoverflow.com/a/192823,428,,"try {

} finally { // should never happen

}"
22,halcy,2017-03-20 10:32:18Z,https://stackoverflow.com/a/769443,410,,"// At this point, I'd like to take a moment to speak to you about the Adobe PSD
// format. PSD is not a good format. PSD is not even a bad format. Calling it
// such would be an insult to other bad formats, such as PCX or JPEG. No, PSD
// is an abysmal format. Having worked on this code for several weeks now, my
// hate for PSD has grown to a raging fire that burns with the fierce passion
// of a million suns.
//
// If there are two different ways of doing something, PSD will do both, in
// different places. It will then make up three more ways no sane human would
// think of, and do those too. PSD makes inconsistency an art form. Why, for
// instance, did it suddenly decide that *these* particular chunks should be
// aligned to four bytes, and that this alignement should *not* be included in
// the size? Other chunks in other places are either unaligned, or aligned with
// the alignment included in the size. Here, though, it is not included. Either
// one of these three behaviours would be fine. A sane format would pick one.
// PSD, of course, uses all three, and more.
//
// Trying to get data out of a PSD file is like trying to find something in the
// attic of your eccentric old uncle who died in a freak freshwater shark
// attack on his 58th birthday. That last detail may not be important for the
// purposes of the simile, but at this point I am spending a lot of time
// imagining amusing fates for the people responsible for this Rube Goldberg of
// a file format.
//
// Earlier, I tried to get a hold of the latest specs for the PSD file format.
// To do this, I had to apply to them for permission to apply to them to have
// them consider sending me this sacred tome. This would have involved faxing
// them a copy of some document or other, probably signed in blood. I can only
// imagine that they make this process so difficult because they are intensely
// ashamed of having created this abomination. I was naturally not gullible
// enough to go through with this procedure, but if I had done so, I would have
// printed out every single page of the spec, and set them all on fire. Were it
// within my power, I would gather every single copy of those specs, and launch
// them on a spaceship directly into the sun.
//
// PSD is not my favourite file format."
23,Mike,2011-03-16 18:12:43Z,https://stackoverflow.com/a/185712,387,,const int TEN=10; // As if the value of 10 will fluctuate...
24,Leo,2009-04-23 04:55:39Z,https://stackoverflow.com/a/780361,363,,"#Christmas tree initializer
    toConnect = []
    toRead =   [  ]
    toWrite = [    ]
    primes = [      ]
    responses = {}
    remaining = {}"
25,Goran,2011-03-16 18:13:15Z,https://stackoverflow.com/a/185156,362,,<!-- Here be dragons  -->
26,Steve B.,2011-03-16 18:13:40Z,https://stackoverflow.com/a/184854,352,,"{
  {
    while (.. ){
      if (..){
          }
      for (.. ){
          }
         .... (just putting in the control flow here, imagine another few hundred ifs)
      if(..)   {
            if(..)     {
                   if(..)   {
                ...
                (another few hundred brackets)
                       }
                  }
         } //endif"
27,Steve B.,2011-03-16 18:13:40Z,https://stackoverflow.com/a/184854,352,,{{{{}}{}{}{}{}}{{}{{}{}{}{}{}{}{{}{}}{}{}{{}{}{}{}{}{}{}{}{}{}{}{{}}}{{}{{}}{{{}}}{{}{}{}{}{}{}{}{{}}{}{{{}}{}{{}{}}{{{}}{}{}{}{}}{{}}}{}{{}{}{}{{}{{}}{}}{{}}}{{}}{{}}{{}}{}{{}}{{}}{{}}{{}{}{}}{}{}{{{}}{{}}}{}{}{}{}}{{{}{{}{}{}{{}{}{}{}{}{}}{}}{{}}{{}{}}}{{}}{{}}}{{}}{{}}{}{}{}{}{{}}{{}{}{}{}}}}{}{}}{{}{{{}{}{}{}}}}{{}{{{}}}}{{}{{{}{{}}{}{{}}{}{{}{}}{{}}{}{{}}}{{}}}}{{}{}{}{}{}{{{}    {{{{}}{}{}{}{}}{{}{{}{}{}{}{}{}{{}{}}{}{}{{}{}{}{}{}{}{}{}{}{}{}{{}}}{{}{{}}{{{}}}{{}{}{}{}{}{}{}{{}}{}{{{}}{}{{}{}}{{{}}{}{}{}{}}{{}}}{}{{}{}{}{{}{{}}{}}{{}}}{{}}{{}}{{}}{}{{}}{{}}{{}}{{}{}{}}{}{}{{{}}{{}}}{}{}{}{}}{{{}{{}{}{}{{}{}{}{}{}{}}{}}{{}}{{}{}}}{{}}{{}}}{{}}{{}}{}{}{}{}{{}}{{}{}{}{}}}}{}{}}{{}{{{}{}{}{}}}}{{}{{{}}}}{{}{{{}{{}}{}{{}}{}{{}{}}{{}}{}{{}}}{{}}}}{{}{}{}{}{}{{{}{}{{}}{}}}{}}{{}}{{}{}}{{}{{}{{}}}}{{{}{{{}}}}}{{{{{}}}}}{}{}{}{{{{}}}{}{}}{{}{{}}}}{}{{}}{}}}{}}{{}}{{}{}}{{}{{}{{}}}}{{{}{{{}}}}}{{{{{}}}}}{}{}{}{{{{}}}{}{}}{{}{{}}}}
28,KevDog,2011-03-16 18:14:08Z,https://stackoverflow.com/a/185550,351,,"//This code sucks, you know it and I know it.
//Move on and call me an idiot later."
29,Juliano,2011-03-16 18:14:49Z,https://stackoverflow.com/a/615845,351,,long long ago; /* in a galaxy far far away */
30,John Chuckran,2011-03-16 18:14:27Z,https://stackoverflow.com/a/184986,324,,// If this comment is removed the program will blow up
31,Macke,2009-04-20 20:30:06Z,https://stackoverflow.com/a/769949,295,,double penetration; // ouch
32,sage386,2009-03-05 13:43:05Z,https://stackoverflow.com/a/614792,290,,/////////////////////////////////////// this is a well commented line
33,Chris Jefferson,2009-03-16 00:11:13Z,https://stackoverflow.com/a/194269,269,,"// I don't know why I need this, but it stops the people being upside-down

x = -x;"
34,Abarax,2011-03-16 18:15:32Z,https://stackoverflow.com/a/190046,254,,"// I am not sure if we need this, but too scared to delete."
35,Josh Segall,2008-10-11 19:23:56Z,https://stackoverflow.com/a/194475,233,,"doRun.run();  // ... ""a doo run run""."
36,Chris Lloyd,2011-03-16 18:16:21Z,https://stackoverflow.com/a/312203,229,,"# To understand recursion, see the bottom of this file"
37,Chris Lloyd,2011-03-16 18:16:21Z,https://stackoverflow.com/a/312203,229,,"# To understand recursion, see the top of this file"
38,paercebal,2017-05-23 12:02:48Z,https://stackoverflow.com/a/216744,223,,"// I am not responsible of this code.
// They made me write it, against my will."
39,Aidos,2010-09-14 22:35:17Z,https://stackoverflow.com/a/185789,219,,"// This shouldn't happen. The only way this can happen is if the
// <code>JFileChooser</code> has returned a <code>File</code> that doesn't exist
// on the system. If this happens we can't recover, and there is more than likely
// a rip in the space time continuum that the user is too distracted by to notice
// anything else."
40,Aidos,2010-09-14 22:35:17Z,https://stackoverflow.com/a/185789,219,,"/**
   * This method leverages collective synergy to drive ""outside of the box""
   * thinking and formulate key objectives into a win-win game plan with a
   * quality-driven approach that focuses on empowering key players to drive-up
   * their core competencies and increase expectations with an all-around
   * initiative to drive down the bottom-line. I really wanted to work the word
   * ""mandrolic"" in there, but that word always makes me want to punch myself in
   * the face.
   */
private void updateFileCountLabel() {"
41,Dave Verwer,2008-10-08 20:16:52Z,https://stackoverflow.com/a/184670,217,,/* I did this the other way */
42,daniels,2009-09-14 06:46:54Z,https://stackoverflow.com/a/184649,216,,/* Please work */
43,Banang,2011-08-11 13:37:26Z,https://stackoverflow.com/a/694644,212,,"//Dear future me. Please forgive me.
//I can't even begin to express how sorry I am."
44,Banang,2011-08-11 13:37:26Z,https://stackoverflow.com/a/694644,212,,"//private instance variable for storing age
public static int age;"
45,1800 INFORMATION,2011-03-16 18:15:59Z,https://stackoverflow.com/a/184672,207,,/* You are not meant to understand this */
46,StubbornMule,2011-03-16 18:16:42Z,https://stackoverflow.com/a/184638,192,,//I am not sure why this works but it fixes the problem.
47,Neil Kodner,2009-04-25 22:08:28Z,https://stackoverflow.com/a/789811,186,,"// no comments for you
// it was hard to write
// so it should be hard to read"
48,Samat Jain,2008-10-09 04:49:15Z,https://stackoverflow.com/a/185877,178,,/* Halley's comment */
49,jumpinjackie,2008-12-01 16:53:59Z,https://stackoverflow.com/a/331424,178,,options.BatchSize = 300; //Madness? THIS IS SPARTA!
50,Rulas,2008-10-12 04:48:56Z,https://stackoverflow.com/a/185196,172,,// I have to find a better job
51,proudgeekdad,2009-04-22 17:16:40Z,https://stackoverflow.com/a/770022,172,,"/* IF DOLPHINS ARE SO SMART, HOW COME THEY LIVE IN IGLOOS? */"
52,Giancarlo,2009-06-11 18:49:41Z,https://stackoverflow.com/a/488651,171,,// hack for ie browser (assuming that ie is a browser)
53,Knobloch,2009-11-07 11:54:10Z,https://stackoverflow.com/a/193705,155,,"/* Emits a 7-Hz tone for 10 seconds.
  True story: 7 Hz is the resonant frequency of a
  chicken's skull cavity. This was determined
  empirically in Australia, where a new factory
  generating 7-Hz tones was located too close to a
  chicken ranch: When the factory started up, all the
  chickens died.
  Your PC may not be able to emit a 7-Hz tone. */

main()
{
    sound(7);
    delay(10000);
    nosound();
}"
54,Bobby Jack,2010-09-18 00:49:08Z,https://stackoverflow.com/a/185169,147,,"/* These magic numbers are fucking stupid. */

/* Dear free software world, do you NOW see we are fucking
   things up?! This is insane! */

/* We will NOT put a fucking timestamp in the header here. Every
   time you put it back, I will come in and take it out again. */

# However, this only works if there are MULTIPLE checkboxes!
# The fucking JS DOM *changes* based on one or multiple boxes!?!?!
# Damn damn damn I hate the JavaScript DOM so damn much!!!!!!

/* TODO: this is obviously not right ... this whole fucking module
   sucks anyway */

/* FIXME: please god, when will the hurting stop? Thus function is so
   fucking broken it's not even funny. */"
55,Bobby Jack,2010-09-18 00:49:08Z,https://stackoverflow.com/a/185169,147,,"# code below replaces code above - any problems?
 # yeah, it doesn't fucking work."
56,Brian Clapper,2009-01-10 20:42:31Z,https://stackoverflow.com/a/431717,146,,last = first; /* Biblical reference */
57,llimllib,2008-12-18 19:47:39Z,https://stackoverflow.com/a/378987,145,,"/*
Major subtleties ahead:  Most hash schemes depend on having a ""good"" hash
function, in the sense of simulating randomness.  Python doesn't:  its most
important hash functions (for strings and ints) are very regular in common
cases:

>>> map(hash, (0, 1, 2, 3))
[0, 1, 2, 3]
>>> map(hash, (""namea"", ""nameb"", ""namec"", ""named""))
[-1658398457, -1658398460, -1658398459, -1658398462]
>>>

This isn't necessarily bad!  To the contrary, in a table of size 2**i, taking
the low-order i bits as the initial table index is extremely fast, and there
are no collisions at all for dicts indexed by a contiguous range of ints.
The same is approximately true when keys are ""consecutive"" strings.  So this
gives better-than-random behavior in common cases, and that's very desirable.

OTOH, when collisions occur, the tendency to fill contiguous slices of the
hash table makes a good collision resolution strategy crucial.  Taking only
the last i bits of the hash code is also vulnerable:  for example, consider
[i << 16 for i in range(20000)] as a set of keys.  Since ints are their own
hash codes, and this fits in a dict of size 2**15, the last 15 bits of every
hash code are all 0:  they *all* map to the same table index.

But catering to unusual cases should not slow the usual ones, so we just take
the last i bits anyway.  It's up to collision resolution to do the rest.  If
we *usually* find the key we're looking for on the first try (and, it turns
out, we usually do -- the table load factor is kept under 2/3, so the odds
are solidly in our favor), then it makes best sense to keep the initial index
computation dirt cheap.

The first half of collision resolution is to visit table indices via this
recurrence:

    j = ((5*j) + 1) mod 2**i

For any initial j in range(2**i), repeating that 2**i times generates each
int in range(2**i) exactly once (see any text on random-number generation for
proof).  By itself, this doesn't help much:  like linear probing (setting
j += 1, or j -= 1, on each loop trip), it scans the table entries in a fixed
order.  This would be bad, except that's not the only thing we do, and it's
actually *good* in the common cases where hash keys are consecutive.  In an
example that's really too small to make this entirely clear, for a table of
size 2**3 the order of indices is:

    0 -> 1 -> 6 -> 7 -> 4 -> 5 -> 2 -> 3 -> 0 [and here it's repeating]

If two things come in at index 5, the first place we look after is index 2,
not 6, so if another comes in at index 6 the collision at 5 didn't hurt it.
Linear probing is deadly in this case because there the fixed probe order
is the *same* as the order consecutive keys are likely to arrive.  But it's
extremely unlikely hash codes will follow a 5*j+1 recurrence by accident,
and certain that consecutive hash codes do not.

The other half of the strategy is to get the other bits of the hash code
into play.  This is done by initializing a (unsigned) vrbl ""perturb"" to the
full hash code, and changing the recurrence to:

    j = (5*j) + 1 + perturb;
    perturb >>= PERTURB_SHIFT;
    use j % 2**i as the next table index;

Now the probe sequence depends (eventually) on every bit in the hash code,
and the pseudo-scrambling property of recurring on 5*j+1 is more valuable,
because it quickly magnifies small differences in the bits that didn't affect
the initial index.  Note that because perturb is unsigned, if the recurrence
is executed often enough perturb eventually becomes and remains 0.  At that
point (very rarely reached) the recurrence is on (just) 5*j+1 again, and
that's certain to find an empty slot eventually (since it generates every int
in range(2**i), and we make sure there's always at least one empty slot).

Selecting a good value for PERTURB_SHIFT is a balancing act.  You want it
small so that the high bits of the hash code continue to affect the probe
sequence across iterations; but you want it large so that in really bad cases
the high-order hash bits have an effect on early iterations.  5 was ""the
best"" in minimizing total collisions across experiments Tim Peters ran (on
both normal and pathological cases), but 4 and 6 weren't significantly worse.

Historical:  Reimer Behrends contributed the idea of using a polynomial-based
approach, using repeated multiplication by x in GF(2**n) where an irreducible
polynomial for each table size was chosen such that x was a primitive root.
Christian Tismer later extended that to use division by x instead, as an
efficient way to get the high bits of the hash code into play.  This scheme
also gave excellent collision statistics, but was more expensive:  two
if-tests were required inside the loop; computing ""the next"" index took about
the same number of operations but without as much potential parallelism
(e.g., computing 5*j can go on at the same time as computing 1+perturb in the
above, and then shifting perturb can be done while the table index is being
masked); and the dictobject struct required a member to hold the table's
polynomial.  In Tim's experiments the current scheme ran faster, produced
equally good collision statistics, needed less code & used less memory.

Theoretical Python 2.5 headache:  hash codes are only C ""long"", but
sizeof(Py_ssize_t) > sizeof(long) may be possible.  In that case, and if a
dict is genuinely huge, then only the slots directly reachable via indexing
by a C long can be the first slot in a probe sequence.  The probe sequence
will still eventually reach every slot in the table, but the collision rate
on initial probes may be much higher than this scheme was designed for.
Getting a hash code as fat as Py_ssize_t is the only real cure.  But in
practice, this probably won't make a lick of difference for many years (at
which point everyone will have terabytes of RAM on 64-bit boxes).
*/"
58,NeilDurant,2008-10-10 04:39:27Z,https://stackoverflow.com/a/190139,128,,"if(m_measures =/*=*/ --index)
{
    ...."
59,Jeremiah,2010-09-17 19:08:18Z,https://stackoverflow.com/a/344907,128,,"int MyFunction()
{
    // There once was a man named Dave
    int Result = 0;

    // Whose code just wouldn't behave
    MyObject *Ptr = new MyObject();

    // He left to go to a meetin'
    Result = Ptr->DoSomething();

    // And left his memory a leakin'
    return Result;
}"
60,samoz,2009-04-11 18:13:17Z,https://stackoverflow.com/a/736044,126,,"/*
This isn't the right way to deal with this, but today is my last day, Ron
just spilled coffee on my desk, and I'm hungry, so this will have to do...
*/

return 12; // 12 is my lucky number"
61,Hafthor,2008-10-12 07:30:02Z,https://stackoverflow.com/a/195198,117,,"mov si, pCard      ; captain?"
62,Mark Bessey,2009-04-23 14:09:16Z,https://stackoverflow.com/a/189740,109,,"// I know the line below is wrong, but it came that way from our IP vendor, and
// the driver won't work if you ""fix"" it. I've had to revert this change 4 times
// now. Leave it alone, or I will hunt you down and hurt you
if (r = 0) {
    /* bunch of code here */
}
else
{
   /* even more code here */
}"
63,ealf,2009-04-19 20:19:58Z,https://stackoverflow.com/a/766018,108,,"__inline BOOL
SearchOneDirectory(
                  IN  LPSTR Directory,
                  IN  LPSTR FileToFind,
                  IN  LPSTR SourceFullName,
                  IN  LPSTR SourceFilePart,
                  OUT PBOOL FoundInTree
                  )
{
    //
    // This was way too slow. Just say we didn't find the file.
    //
    *FoundInTree = FALSE;
    return(TRUE);
}"
64,Jacques Chester,2009-04-20 14:03:20Z,https://stackoverflow.com/a/768386,107,,// this comment included for the benefit of anyone grepping for swearwords: shit.
65,Brian,2011-07-15 08:20:21Z,https://stackoverflow.com/a/638670,105,,"} catch (PartInitException pie) {
    // Mmm... pie"
66,Yuval,2011-07-15 11:57:51Z,https://stackoverflow.com/a/400211,105,,// This comment is self explanatory.
67,Brian Rudolph,2008-12-19 17:22:45Z,https://stackoverflow.com/a/381599,104,,ICantBelieveImUsingAGoto:
68,Rad,2009-03-05 18:31:26Z,https://stackoverflow.com/a/615989,103,,"class Act //That's me!!!
{

}"
69,Rad,2009-03-05 18:35:34Z,https://stackoverflow.com/a/616013,103,,"try {

}
catch (SQLException ex) {
    // Basically, without saying too much, you're screwed. Royally and totally.
}
catch(Exception ex)
{
    //If you thought you were screwed before, boy have I news for you!!!
}"
70,Tim Farley,2008-10-08 20:13:32Z,https://stackoverflow.com/a/184656,102,,// This only exists because Scott doesn't know how to use const correctly
71,kjensen,2009-03-05 18:35:10Z,https://stackoverflow.com/a/187565,102,,"virgin = 0;     /* you're not a virgin anymore, sweety */"
72,Lyudmil,2009-04-28 05:58:26Z,https://stackoverflow.com/a/796400,100,,"public boolean isDirty() {
    //Why do you always go out and
    return dirty;
}"
73,DGentry,2011-07-15 11:57:00Z,https://stackoverflow.com/a/189503,97,,"* ...and don't just declare it volatile and think you've solved
 * the problem. You young punks think you know what volatile
 * means... why in my day we had to cast it volatile uphill
 * both ways, and the code still didn't work! Whippersnappers..."
74,Simon Howard,2008-10-09 22:13:39Z,https://stackoverflow.com/a/185053,94,,"// UNUSED
// Separate into p_slidoor.c?

#if 0           // ABANDONED TO THE MISTS OF TIME!!!
//
// EV_SlidingDoor : slide a door horizontally
// (animate midtexture, then set noblocking line)
//"
75,bikesandcode,2008-11-25 01:39:13Z,https://stackoverflow.com/a/316112,94,,"float Q_rsqrt( float number )
{
  long i;
  float x2, y;
  const float threehalfs = 1.5F;

  x2 = number * 0.5F;
  y  = number;
  i  = * ( long * ) &y;  // evil floating point bit level hacking
  i  = 0x5f3759df - ( i >> 1 ); // what the fuck?
  y  = * ( float * ) &i;
  y  = y * ( threehalfs - ( x2 * y * y ) ); // 1st iteration
  // y  = y * ( threehalfs - ( x2 * y * y ) ); // 2nd iteration, this can be removed

  #ifndef Q3_VM
  #ifdef __linux__
    assert( !isnan(y) ); // bk010122 - FPE?
  #endif
  #endif
  return y;
}"
76,Adam,2009-04-19 23:04:34Z,https://stackoverflow.com/a/766324,92,,"def format_ticket_content(text, recursive = true)
  if text.is_a?(TicketNote)
    note = text
    text = note.content
  else
    note = nil
  end

  ## Safety pig has arrived!
  text = h(text)
  ##                               _
  ##  _._ _..._ .-',     _.._(`))
  ## '-. `     '  /-._.-'    ',/
  ##    )         \            '.
  ##   / _    _    |             \
  ##  |  a    a    /              |
  ##  \   .-.                     ;
  ##   '-('' ).-'       ,'       ;
  ##      '-;           |      .'
  ##         \           \    /
  ##         | 7  .__  _.-\   \
  ##         | |  |  ``/  /`  /
  ##        /,_|  |   /,_/   /
  ##           /,_/      '`-'
  ##"
77,matiouchkine,2009-03-06 14:10:18Z,https://stackoverflow.com/a/618976,91,,"// John! If you'll svn remove this once more,
// I'll shut you, for God's sake!
// That piece of code is not “something strange”!
// That is THE AUTH VALIDATION."
78,Neil N,2009-03-16 00:24:46Z,https://stackoverflow.com/a/648866,78,,// TODO: Fix this.  Fix what?
79,Pete H.,2009-02-03 20:36:33Z,https://stackoverflow.com/a/508818,76,,"//MailBody builders for two outgoing messages
StringBuilder hanz = new StringBuilder();
StringBuilder franz = new StringBuilder();"
80,Larry,2008-10-09 13:19:37Z,https://stackoverflow.com/a/187215,74,,"Repeat
    ...
Until (JesusChristsReturn) ' Not sure"
81,Samutz,2009-04-22 19:12:59Z,https://stackoverflow.com/a/778722,72,,"/*
after hours of consulting the tome of google
i have discovered that by the will of unknown forces
without the below line, IE7 believes that 6px = 12px
*/
font-size: 0px;"
82,Kristopher Johnson,2008-10-08 20:24:09Z,https://stackoverflow.com/a/184720,70,,"/* Project : XYZ (Please somebody shoot me!)
 *
 * File : $Id: defs.h,v 1.1 $
 *
 * Purpose : Create havoc rather than peace among many nations
 *
 * History : Back-ported changes that were not in CVS.  Please somebody,
 *  shoot us and put us all out of our misery.
 */"
83,Lance Richardson,2009-04-20 02:33:49Z,https://stackoverflow.com/a/766668,70,,long time; /* know C */
84,Lance Richardson,2009-04-20 02:33:49Z,https://stackoverflow.com/a/766668,70,,/* Be a real daemon: fork myself and kill my parent */
85,Zifre,2009-05-13 22:57:08Z,https://stackoverflow.com/a/694652,67,,"/* Welcome to Sun Microsystems, can I take your order please? */
if(!hp->happy_flags & HFLAG_FENABLE)
        return happy_meal_bb_write(hp, tregs, reg, value);

/* Would you like fries with that? */
hme_write32(hp, &tregs->frame,
            (FRAME_WRITE | (hp->paddr << 23) |
             ((reg & 0xff) << 18) | (value & 0xffff)));
while(!(hme_read32(hp, &tregs->frame) & 0x10000) && --tries)
        udelay(20);

/* Anything else? */
if(!tries)
        printk(KERN_ERR ""happy meal: Aieee, transceiver MIF write bolixed\n"");

/* Fifty-two cents is your change, have a nice day. */"
86,itsmatt,2010-08-02 13:44:08Z,https://stackoverflow.com/a/188413,67,,// Catching exceptions is for communists
87,Not JeK,2010-09-14 23:13:07Z,https://stackoverflow.com/a/787238,66,,"//
//3.4  JeK  My manager promised me a lap dance if I can fix this release
//3.5  JeK  Still waiting for that dance from my manager
//3.6  JeK  My manager got changed, the new manager is hairy, dont want the dance anymore
//3.7  Jek  Got that dance, yuck!
//"
88,Russell Bryant,2008-10-18 15:28:31Z,https://stackoverflow.com/a/215166,63,,"/* Mark: If there's one thing you learn from this code, it is this...
   Never, ever fly Air France.  Their customer service is absolutely
   the worst.  I've never heard the words ""That's not my problem"" as
   many times as I have from their staff -- It should, without doubt
   be their corporate motto if it isn't already.  Don't bother giving
   them business because you're just a pain in their side and they
   will be sure to let you know the first time you speak to them.

   If you ever want to make me happy just tell me that you, too, will
   never fly Air France again either (in spite of their excellent
   cuisine).

   Update by oej: The merger with KLM has transferred this
   behaviour to KLM as well.
   Don't bother giving them business either...

   Only if you want to travel randomly without luggage, you
   might pick either of them.
   */"
89,TJ L,2008-10-16 21:45:36Z,https://stackoverflow.com/a/210422,58,,if (/*you*/ $_GET['action']) { //celebrate
90,Martin Lazar,2009-04-06 09:53:45Z,https://stackoverflow.com/a/687811,58,,"// I can't divide with zero, so I have to divide with something very similar
result = number / 0.00000000000001;"
91,Martin Brown,2008-10-09 13:10:23Z,https://stackoverflow.com/a/187183,56,,"public class Contact
{
    //...

    /// <summary>
    /// Gets or sets the name of the first.
    /// </summary>
    /// <value>The name of the first.</value>
    public string FirstName
    {
        get { return _firstName; }
        set { _firstName = value; }
    }
}"
92,shsteimer,2009-03-05 18:13:38Z,https://stackoverflow.com/a/615901,56,,//I wonder if she actually reads these.
